polis_number,Toponym,City_ethnic,Region,Polities.Called.Polis,Polities.Called.Polis.Source.of.Designation,Polities.called.Asty.and.Polisma,Polities.Called.Patris,Use_of_City_Ethnic,Size_of_Territory,Poleis.in.400,Poleis.no.longer.or.not.yet.existing.in.400,Constitution,Demos,Boule,Dikasterion,Gerousia,Nomothetai,Other_Institutions,Total_Institutions,phratriai,demoi,phylai,other_civic_subdivision,Proxenoi,Theorodokoi,Theorodokoi_Type,Panhellenic_Victors,Panhellenic_Victors_Specific_Games,Major_Divinities1,Major_Divinities2,Major_Divinities3,Major_Divinities4,Members_of_the_Delian_League,Stasis,Destruction,Type_of_Destruction,Andrapodismos,Destruction_of_urban_center,Dioikismos,Expulsion_of_population,Population_killed_off,Synoikismos,Grid_Planned_Poleis,City_Walls,Political_Architecture,Temple,Theatre,Stoas,Gymnasia,Stadia,Hippodromes,Total_Public_Building_Types,Colonisation,latitude_decimal,longitude_decimal
1,Alalie,,1,NA,NA,NA,NA,0,3,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,1,0,0,0,0,0,1,0,42.16666667,10.16666667
2,Emporion,Emporites,1,NA,NA,NA,NA,5,2,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,1,0,0,0,0,0,1,0,42.16666667,3.166666667
3,Massalia,Massaliotes,1,NA,NA,NA,NA,8,2,NA,NA,19,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1507,1700,0,0,0,1,0,0,0,0,0,0,0,0,NA,1,0,1,0,0,0,0,0,1,2,43.46666667,5.366666667
4,Rhode,Rhodetes,1,NA,NA,NA,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1507,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,42.25,23.16666667
5,Abakainon,Abakaininos,2,NA,NA,NA,NA,1,0,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,38.08333333,15.08333333
6,Adranon,Adranites,2,NA,NA,NA,NA,1,0,NA,NA,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,1,0,1,0,0,0,0,0,1,0,37.66666667,14.83333333
7,Agyrion,Agyrinaios,2,NA,NA,NA,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,1,1,1,0,0,0,0,2,0,37.66666667,14.5
8,Aitna,Aitnaios,2,NA,NA,NA,NA,9,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,3800,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,1,1,NA,NA
9,Akragas,Akragantinos,2,NA,NA,NA,NA,10,5,NA,NA,20,1,1,1,0,0,0,3,0,0,0,0,1,1,3,1,13,1713,3814,0,0,0,7,1,2,0,1,0,0,0,0,NA,1,1,1,0,1,0,0,0,2,0,37.33333333,13.58333333
10,Akrai,Akraios,2,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,1,0,0,0,0,0,1,0,37.08333333,14.91666667
11,Alaisa,Alaisinos,2,NA,NA,NA,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,38,14.25
12,Alontion,Alontinos,2,NA,NA,NA,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,38.08333333,14.66666667
13,Apollonia,Apolloniates,2,NA,NA,NA,NA,0,0,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,38,14.58333333
14,Engyon,Engyinos,2,NA,NA,NA,NA,0,0,NA,NA,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,37.75,14.58333333
15,Euboia,Euboeus,2,NA,NA,NA,NA,2,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,NA,NA
16,Galeria,Galarinos,2,NA,NA,NA,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
17,Gela,Geloios/Geloaios,2,NA,NA,NA,NA,9,4,NA,NA,12,1,0,0,0,0,0,1,0,0,0,0,1,1,3,1,10,1711,0,0,0,0,5,1,2,0,1,0,0,0,1,NA,1,0,1,1,0,0,0,0,2,3,37.08333333,14.25
18,Heloros (or Heleron?),Ailoros,2,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,1,1,0,0,0,0,2,0,NA,36.83333333
19,Henna,Hennaios,2,NA,NA,NA,NA,5,0,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,37.41666667,14.25
20,Herakleia,Herakleotes,2,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,NA,1,0,1,0,0,0,0,0,1,0,37.41666667,13.25
21,Herakleia,,2,NA,NA,NA,NA,4,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
22,Herbessos,Herbessinos,2,NA,NA,NA,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,NA
23,Herbita,Herbitaios,2,NA,NA,NA,NA,1,0,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,NA,NA
24,Himera,Himeraios,2,NA,NA,NA,NA,9,5,NA,NA,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,15,1700,0,0,0,0,1,1,5,1,1,0,0,0,0,NA,1,0,1,0,0,0,0,0,1,0,37.91666667,13.83333333
25,Hippana,Hipanatas,2,NA,NA,NA,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,1,0,0,0,0,1,0,37.66666667,13.41666667
26,Imachara,Imacharaios,2,NA,NA,NA,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,37.83333333,14.33333333
27,Kallipolis,Kallipolites,2,NA,NA,NA,NA,2,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,NA
28,Kamarina,Kamarinaios,2,NA,NA,NA,NA,9,4,NA,NA,5,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,3,1714,0,0,0,0,1,1,9,0,1,0,1,0,1,NA,1,0,1,0,0,0,0,0,1,1,36.83333333,14.41666667
29,Kasmenai,Kasmenaios,2,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,1,0,0,0,0,0,1,0,37.08333333,14.83333333
30,Katane,Katanaios,2,NA,NA,NA,NA,9,4,NA,NA,5,1,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,1,5,1,1,0,0,0,1,NA,1,1,0,1,0,0,0,0,1,1,37.5,15.08333333
31,Kentoripa,Kentoripinos,2,NA,NA,NA,NA,5,0,NA,NA,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,37.58333333,14.75
32,Kephaloidion,Kephaloiditas,2,NA,NA,NA,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,38,14
33,Leontinoi,Leontinos,2,NA,NA,NA,NA,9,4,NA,NA,20,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,NA,1,0,0,1,0,0,0,0,1,1,37.25,15
34,Lipara,Lipariaios,2,NA,NA,NA,NA,9,2,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,0,38.5,14.91666667
35,Longane,Longenaios,2,NA,NA,NA,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,38.08333333,15.16666667
36,Megara (Hyblaia),Megareus,2,NA,NA,NA,NA,2,4,NA,NA,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,1,1,0,0,0,1,NA,1,0,1,0,1,0,0,0,2,1,2.616666667,10.25
37,Morgantina,Morgantinos,2,NA,NA,NA,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,NA,0,0,0,1,0,0,0,0,1,0,37.41666667,14.5
38,Mylai,Mylaios,2,NA,NA,NA,NA,2,2,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,38.25,15.25
39,Mytistratos,Mystiserantinos,2,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,37.58333333,14
40,Nakone,Nakonaios,2,NA,NA,NA,NA,1,0,NA,NA,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
41,Naxos,Naxios,2,NA,NA,NA,NA,9,4,NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,10,2100,0,0,0,0,1,1,5,1,1,0,0,0,1,NA,1,0,1,0,0,0,0,0,1,3,37.83333333,15.25
42,Petra,Petrinos,2,NA,NA,NA,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
43,Piakos,Piakinos,2,NA,NA,NA,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
44,Selinous,Selinousios,2,NA,NA,NA,NA,9,5,NA,NA,5,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,3800,0,0,0,0,0,1,5,1,1,0,0,0,0,NA,1,0,1,1,1,0,0,0,3,1,37.58333333,12.83333333
45,Sileraioi,Sileraioi,2,NA,NA,NA,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
46,Stielanaioi,,2,NA,NA,NA,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,37.16666667,14.91666667
47,Syrakousai,Syrakosios,2,NA,NA,NA,NA,9,5,NA,NA,20,1,1,0,0,1,0,3,0,0,1,0,1,1,3,1,10,1300,1500,1700,3813,0,19,0,0,0,0,0,0,0,0,NA,1,1,1,1,0,0,0,0,2,21,37.08333333,15.25
48,Tauromenion,Tauromenitas,2,NA,NA,NA,NA,5,0,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,37.83333333,15.25
49,Tyndaris,Tyndarites,2,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,1,0,0,0,0,0,1,0,38.16666667,15.08333333
50,Tyrrhenoi,Tyrrhenoi,2,NA,NA,NA,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
