unique_id,Primary_Name,Secondary_Name,Fathers_Name,Birthplace,Birthplace_Code,Autopopulated birthplace,Certainty_of_Birthplace,Work/Living_Place,WL_Place_code_#1,Work/Living_Place_#2,WL_Place_code_#2,Work/Living_Place_#3,WL_Place_code_#3,Work/Living_Place_#4,WL_Place_code_#4,Work/Living_Place_#5,WL_Place_code_#5,Work/Living_Place_#6,WL_Place_code_#6,Work/Living_Place_#7,WL_Place_code_#7,Work/Living_Place_#8,WL_Place_code_#8,Work/Living_Place_#9,WL_Place_code_#9,Work/Living_Place_#10,WL_Place_code_#10,Work/Living_Place_#11,WL_Place_code_#11,Work/Living_Place_#12,WL_Place_code_#12,Work/Living_Place_#13,WL_Place_code_#13,Work/Living_Place_#14,WL_Place_code_#14,Work/Living_Place_#15,WL_Place_code_#15,Work/Living_Place_#16,WL_Place_code_#16,Work/Living_Place_#17,WL_Place_code_#17,Work/Living_Place_#18,WL_Place_code_#18,Work/Living_Place_#19,WL_Place_code_#19,Endeavor,Endeavor_Code_1,Endeavor_2,Endeavor_Code_2,Endeavor_3,Endeavor_Code_3,Endeavor_4,Endeavor_Code_4,Endeavor_5,Endeavor_Code_5,Endeavor_6,Endeavor_Code_7,Endeavour_8,Endeavour_Code_8,Endeavour_9,Endeavour_Code_10,Era,Century,Fame,endeavor_1,endeavor_2,endeavor_3,endeavor_4,endeavor_5,endeavor_7,endeavor_8,endeavor_10,endeavor_6 endeavor_9 THIS CODE IS MISSING WHERE IS IT,philosophy,culture,economy,politics,military,religion
Accius_1,Accius,Lucius,NA,Umbria,0,2335,1,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stage Poet,113,Literary Scholar,111,,,,,,,,,,,,,16,,1.1,2,1,,,,,,,,1,1,0,0,0,0
Achaeus (two)_2,Achaeus (two),,NA,Eretria,370,370,1,Athens,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tragic Poet,105,,,,,,,,,,,,,,,3,,0.3,1,,,,,,,,,1,0,0,0,0,0
Achaeus (three)_3,Achaeus (three),,NA,NA,0,<Null>,3,Anatolia,2019,Sardis,2279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viceroy for Antiochus III,401,,,,,,,,,,,,,,,13,,0.2,4,,,,,,,,,0,0,0,1,0,0
Achilles_4,Achilles,Tatius (one),NA,Alexandria,0,2014,1,Alexandria,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,106,,,,,,,,,,,,,,,29,,1,2,,,,,,,,,0,1,0,0,0,0
Achilles_5,Achilles, ,NA,NA,0,<Null>,3,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writer,107,,,,,,,,,,,,,,,0,3,0.1,2,,,,,,,,,0,1,0,0,0,0
Acilius_6,Acilius,Gaius,NA,NA,0,<Null>,3,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,senator ,402,historian,108,,,,,,,,,,,,,16,,0.2,4,1,,,,,,,,1,0,0,1,0,0
Acilius Attianus_7,Acilius Attianus,Publius,NA,Italica,2163,2163,3,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,praetorian prefect,408,senator,402,,,,,,,,,,,,,26,,,4,4,,,,,,,,0,0,0,1,0,0
Acilius Glabrio (1)_8,Acilius Glabrio (1),Manius,Manius (two),NA,0,<Null>,1,Rome,0,Etruria,2129,Thermopylae,0,Naupactus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tribune,425,praetor,420,consul,407,,,,,senator ,402,,,,,14,,0.1,4,4,4,,,4,,,,0,0,0,1,0,0
Acilius Glabrio (4)_9,Acilius Glabrio (4),Manius,NA,NA,0,<Null>,3,Rome,0,Alba,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consul,407,revolutionary,504,,,,,,,senator ,402,,,,,26,,0.2,4,2,,,,4,,,,0,1,0,1,0,0
Acilius Glabrio (2)_10,Acilius Glabrio (2),Manius,NA,NA,0,<Null>,1,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tribune,425,,,,,,,,,senator ,402,,,,,18,,0.2,4,,,,,4,,,,0,0,0,1,0,0
Acilius Glabrio (3)_11,Acilius Glabrio (3),Manius,NA,NA,0,<Null>,1,Rome,0,Bithynia,2057,Pontus,2264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tribune,425,praetor,420,consul,407,pontifex,403,,,senator ,402,,,,,20,,0.4,4,4,4,4,,4,,,,0,0,0,1,0,0
Acusilaus_12,Acusilaus,,NA,Argos,0,115,2,Argos,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,literary scholar,104,,,,,,,,,,,,,,,NA,-6,,2,,,,,,,,,0,1,0,0,0,0
Ada_13,Ada,,Hecatomnus,Caria,0,2076,2,Caria,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,satrap ,403,queen,603,,,,,,,,,,,,,9,,,4,4,,,,,,,,0,0,0,1,0,0
Adrastus (2)_14,Adrastus (2),,NA,Aphrodisias,1005,1005,1,Aphrodisias,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peripatetic philosopher,102,teacher,110,,,,,,,,,,,,,,2,0.2,,2,,,,,,,,0,1,0,0,0,0
Adrianus_15,Adrianus,,NA,Tyre,694,2333,1,Tyre,694,Rome,0,Ephesus,0,Athens,0,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sophist,109,,,,,,,,,,,,,,,30,,0.1,1,,,,,,,,,1,0,0,0,0,0
Aedesisus_16,Aedesisus,,NA,Cappadocia,0,2072,1,Pergamum,828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neoplatonist,102,teacher,110,,,,,,,,,,,,,32,,0.2,1,2,,,,,,,,1,1,0,0,0,0
Aelian_17,Aelian,Claudius Aelianus,NA,Praeneste,0,2265,2,Caesaria,0,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stoic,102,,,,,,,,,,,,,,,31,,,,,,,,,,,,0,0,0,0,0,0
Aelianus_18,Aelianus,,NA,NA,0,<Null>,3,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,military writer,107,,,,,,,,,,,,,,,,2,0.1,2,,,,,,,,,0,1,0,0,0,0
Aelius_19,Aelius,Lucius,NA,Rome,0,2271,1,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,literary scholar,104,stoic,102,,,,,,,,,,,,,16,,0.2,2,,,,,,,,,0,1,0,0,0,0
Aelius Antipater_20,Aelius Antipater,,NA,Hieropolis,0,#N/A,1,Rome,0,Bithynia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sophist,109,secretary,422,teacher,110,senator,402,governor,403,historian,108,,,,,30,,,1,4,2,4,4,1,,,,1,1,0,1,0,0
Aelius Lucius_21,Aelius Lucius,,NA,Lanuvium,0,2173,3,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,literary scholar,104,grammarian,114,stoic,102,Equestrian,0,,,,,,,,,18,,,2,1,,,,,,,,1,1,0,0,0,0
Aelius Caesar_22,Aelius Caesar,Lucius,NA,NA,0,<Null>,3,Rome,0,Pannonia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consul,407,consul ,407,governor,406,,,,,,,,,,,28,,,4,4,4,,,,,,,0,0,0,1,0,0
Aelius Gallus_23,Aelius Gallus,,NA,NA,0,<Null>,3,Rome,0,Egypt,0,Arabia Fellix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prefect,408,governor,406,doctor,304,writer,304,,,,,,,,,22,,,4,4,1,1,,,,,,1,0,0,1,0,0
Aelius Marcianus_24,Aelius Marcianus,,NA,eastern empire,0,2122,2,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,409,writer,107,,,,,,,,,,,,,31,,,2,2,,,,,,,,0,1,0,0,0,0
Aelius Melissus_25,Aelius Melissus,,NA,NA,0,<Null>,3,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grammarian,114,,,,,,,,,,,,,,,28,,,1,,,,,,,,,1,0,0,0,0,0
Aelius Paetus_26,Aelius Paetus,Sextus,NA,NA,0,<Null>,3,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,409,writer,107,consul,407,,,,,,,,,,,15,,,2,2,4,,,,,,,0,1,0,1,0,0
Aelius Promotus_27,Aelius Promotus,,NA,Alexandria,0,2014,2,Alexandria,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctor,304,writer,107,,,,,,,,,,,,,,2,,1,2,,,,,,,,1,1,0,0,0,0
Aelius Seianus_28,Aelius Seianus,Lucius,L. Seius Strabo,Volsinii,0,2344,3,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prefect,408,consul,407,conspirator,504,,,,,,,,,,,23,,,4,4,2,,,,,,,0,1,0,1,0,0
Aelius Tubero_29,Aelius Tubero,Lucius,NA,NA,0,<Null>,3,Rome,0,Pharsalus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,praetor,420,historian,108,academic philosopher,102,,,,,,,,,,,21,,,4,1,,,,,,,,1,0,0,1,0,0
Aelius Tubero_30,Aelius Tubero,Quintus,Lucius Aelius Tubero,NA,0,<Null>,3,Rome,0,Pharsalus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,409,writer,107,historian,108,,,,,,,,,,,22,,,2,2,1,,,,,,,1,1,0,0,0,0
Aemilius Aemilianus_31,Aemilius Aemilianus,Marcus,NA,NA,0,<Null>,3,Moesia,0,Italy,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,governor,406,emperor,601,,,,,,,,,,,,,33,,0.3,4,4,,,,,,,,0,0,0,1,0,0
Aemilius Asper_32,Aemilius Asper,,NA,NA,0,<Null>,3,NA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,literary scholar,104,grammarian,114,,,,,,,,,,,,,,2,,2,1,,,,,,,,1,1,0,0,0,0
Aemilius Laetus_33,Aemilius Laetus,Quintus,,Thaenae,0,2312,3,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,praetorian prefect,408,conspirator,504,,,,,,,,,,,,,30,,,4,2,,,,,,,,0,1,0,1,0,0
Aemilius Lepidus_34,Aemilius Lepidus,Manius,grandson of (three),NA,0,<Null>,3,Rome,0,Asia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,proconsul,410,consul ,407,,,,,,,,,,,,,23,,0.1,4,4,,,,,,,,0,0,0,1,0,0
Aemilius Lepidus (1)_35,Aemilius Lepidus (1),Marcus,NA,NA,0,<Null>,3,Rome,0,Abydos,765,Sicily,0,Liguria,0,Mutina,0,Parma,0,Liguria,0,Gaul,0,,,,,,,,,,,,,,,,,,,,,,,Praetor,420,consul,407,colony founder,406,pontifex maximus,403,censor,404,ambassador,426,consul,407,agronomer,308,15,,0.3,4,4,4,4,2,4,4,1,,1,1,0,1,0,0
Aemilius Lepidus (2)_36,Aemilius Lepidus (2),Marcus,descendant of (one),NA,0,<Null>,3,Rome,0,Gaul,0,Rome,0,Sardinia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consul,407,proconsul,410,,,,,,,,,,,,,19,,0.3,4,4,,,,,,,,0,0,0,1,0,0
Aemilius Lepidus (3)_37,Aemilius Lepidus (3),Marcus,son of (two),NA,0,<Null>,3,Rome,0,Spain,0,Gaul,0, Rome,0,Africa,0,Sicily,0,Circeii,0,,,,,,,,,,,,,,,,,,,,,,,,,Consul,407,magister equitum,422,governor,406,pontifex maximus,403,consul,407,,,,,,,21,,0.6,4,4,4,4,4,,,,,0,0,0,1,0,0
Aemilius Lepidus (4)_38,Aemilius Lepidus (4),Marcus,son of (three),NA,0,<Null>,3,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conspirator,504,,,,,,,,,,,,,,,21,,0.1,2,,,,,,,,,0,1,0,0,0,0
Aemilius Lepidus (5)_39,Aemilius Lepidus (5),Marcus,Paullus Aemilius Lepidus,NA,0,<Null>,3,Rome,0,Pannonia,0,Dalmatia,0,Tarraconensis,0,Asia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consul,407,commander ,417,governor,406,proconsul,424,,,,,,,,,22,,,4,4,4,4,,,,,,0,0,0,1,0,0
Aemilius Lepidus (6)_40,Aemilius Lepidus (6),Marcus,Aemilius Lepidus (6),NA,0,<Null>,3,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conspirator,504,,,,,,,,,,,,,,,24,,,2,,,,,,,,,0,1,0,0,0,0
Aemlius Lepidus_41,Aemlius Lepidus,Paullus,L. Aemlius Paullus,NA,0,<Null>,3,Rome,0,Sicily,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suffect consul,407,proconsul,410,censor,404,augur,309,frater arvalis,0,,,,,,,21,,,4,4,2,5,,,,,,0,1,0,1,1,0
Aemilius Macer_42,Aemilius Macer,,NA,Verona,0,2341,3,Verona,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poet,113,,,,,,,,,,,,,,,22,,0.1,2,,,,,,,,,0,1,0,0,0,0
Aemilius Papinianus_43,Aemilius Papinianus,,NA,Africa,0,#N/A,3,Africa,0,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,409,prefect,408,writer,107,,,,,,,,,,,31,,0.5,2,4,2,,,,,,,0,1,0,1,0,0
Aemilius Paullus (1)_44,Aemilius Paullus (1),Lucius,NA,NA,0,<Null>,3,Rome,0,Illyria,0,Cannae,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consul,407,general,412,,,,,,,,,,,,,14,,0.2,4,4,,,,,,,,0,0,0,1,0,0
Aemilius Paullus (2)_45,Aemilius Paullus (2),Lucius,NA,NA,0,<Null>,3,Rome,0,Further Spain,0,Asia,0,Liguria,0,Pydna,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,augur,309,governor,406,general,412,commissioner to Maced.,406,consul,407,consul,407,censor,404,,,16,,,5,4,4,4,4,4,2,,,0,1,0,1,1,0
Aemilius Paullus (3)_46,Aemilius Paullus (3),Lucius,son of (two),NA,0,<Null>,3,Rome,0,Macedonia,0,Mutina,0,Miletus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quaestor,418,curule aedile,421,praetor,420,consul,407,,,,,,,,,20,,0.2,4,2,4,4,,,,,,0,1,0,1,0,0
Aemilius Paullus (4)_47,Aemilius Paullus (4),Lucius,Paullus Aemilius Lepidus,NA,0,<Null>,3,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consul,406,conspirator,504,,,,,,,,,,,,,23,,,4,2,,,,,,,,0,1,0,1,0,0
Aemilius Regillus_48,Aemilius Regillus,Lucius,NA,NA,0,<Null>,3,Rome,0,Myonnesus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,praetor,420,admiral,419,,,,,,,,,,,,,15,,,4,4,,,,,,,,0,0,0,1,0,0
Aemilius Scaurus_49,Aemilius Scaurus,Mamercus,NA,NA,0,<Null>,3,Rome,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orator,411,advocate,409,suffect consul,407,,,,,,,,,,,23,,0.1,2,2,4,,,,,,,0,1,0,1,0,0
